27450168,22150080,163877409
49912439,163877409,23702397
104871512,163877409,494696880
219855843,24490384,23702397
217984518,41511637,130176159
25844958,18721502,23702397
40961474,10876852,17652777
41554056,14372486,23654341
24391888,368898559,16202733
37838964,14227046,40164390
40164390,14227046,37838964
518304539,445348992,8051992
368898559,24391888,16202733
191793302,285708672,10418002
7768572,16827173,37461389
233582757,31812497,11268812
19946977,50393960,19029137
14618151,177310174,14208982
38303040,13613292,19802879
161445523,49089235,11268812
35432131,3829151,27475761
127625661,407259902,75829996
281765007,44312605,63135128
165498547,44473103,196429355
463410501,193076197,48108211
137117427,310687757,39689218
349256925,59557446,83876527,14677919
25835874,35476618,20583098,38718720
48504743,2883841,58309829,25970331
244719623,15460081,25970331,325054079
333011515,342221618,120599128,339373057
14326003,19489341,15863699,101496725
40791597,47799910,21076522,47799910
125540746,7081402,1183041,20661527
14144060,9199472,21308602,15271920
101496725,14326003,102434415,23742474
17794560,20661527,16038438,22857385
18959811,20637608,31067157,13017662
93904918,24044209,17861062,5490392
64643056,16589206,279390084,16589206
24044209,18511475,288452305,35831704
231796277,205195655,69248730,518403776
341849215,248992493,24109979,17910878
208221645,304794994,52422878,26553971
256286568,207936757,207936757,207936757
465973,107017176,14224719,14224719
30869029,1294741,18142375,88722311
14796276,18142375,16133363,25702003
5066391,1116721,2217251,1452261
1534321,8295072,1047451,1268821
6269452,991221,1044591,1049111
9566042,1047451,1268821,5515802
1034621,678953,18498684,14505838
4556941,1047451,9921142,1048661
5736262,5678622,10733192,7065032
5190551,1048661,1452261,1269251
42292005,378603319,8369072,262706840
16150760,192969516,19695915,63485337
414248813,281635993,213969309,116757352
221988282,22841103,20055740,26173611
105520076,372723954,22486912,15439395
216288753,24871896,23440052,20068314
107872957,157055308,20464600,48459607
507672047,525208028,108247668,540216621
40208725,19325406,22519352,24595743
82724710,48459607,119659524,78502161
17495686,11167502,24595743,44114848
388421804,48459607,45843783,213969309
12433902,79051374,35399002,15439395
320987486,507672047,45843783,53047484
269478935,326659062,501724209,262775327
63760513,15154217,87741382,59414975
145608536,59414975,15154217,24742040
496262970,172161833,115313263,307642294
111215825,100844057,109622555,109622555
16637198,813286,26829539,19697415
320242505,116994659,14647570,1435461
33149448,30364057,813286,19697415
55716894,14862942,62901679,18009781
35611780,73975665,224304689,16303106
43572786,813286,88851192,21982720
283242928,18009781,14862942,30364057
18370451,240405879,14824849,40100707
145103770,16303106,30364057,237845487
20641995,20108560,14506253,18125335
14957302,93017945,115485051,336116660
176904762,15666380,6480652,22027186
247637481,43170475,15575251,115485051
100259057,19042006,61061751,248882821
17768307,14681605,14681605,14681605
97324177,1715051,224144546,14681605
12447212,38682272,90420314,407977463
157532916,43003845,169761471,40981798
94882498,34428380,40981798,251261925
84379624,136046012,21447363,41676731
15515919,19546942,18307364,7092102
13496142,189376144,19238548,19530289
17225211,15962096,17681513,377220892
93171197,18177126,21362105,15962096
189376144,18177126,24447643,13496142
24450407,24447643,139162440,21362105
8622212,14345566,31080039,972651
342770193,25042112,15962096,31351370
33915492,25971349,30894668,18393773
386970331,42192966,335369838,378707542
22447088,326621596,18393773,18738619
27702153,15901190,972651,15901190
314340918,9389812,18393773,21362105
105766934,144751388,16425197,10228272
122371074,27868406,12611642,20536157
209976821,17663756,107026086,91186251
398986217,334482880,204089551,10228272
84121240,14290689,48024605,17093617
167688372,48024605,769101,15128907
107026086,15131310,20536157,783214
135741105,48024605,15134782,783214
330072249,243902744,103365202,116019986
92513019,8039442,192963833,213173218
22554784,18825961,41183891,18927441
248751362,342279134,64018904,37444945
21787625,17019152,18825961,40101400
21522660,188841274,18181482,26565946
40737288,228624732,7565302,18825961
16514593,20536157,20273476,19253334
286413188,14071996,14284680,84398138
16616891,783214,14071996,50393960
14923505,12294012,18285245,15913
16453313,24741685,50393960,15670515
40136786,45145208,50393960,45453816
264785684,1950981,7813092,50393960
11947382,15234657,63485337,184964515
15955301,50393960,23679647,62581962
19131178,286413188,14071996,50393960
46443549,17221819,17221819,17221819
137494807,10280632,452377444,46333412
258531716,59804598,14685759,309366491
243211931,31353077,388985377,7861312
214964464,30954427,147795672,45481417
36409163,10228272,14780915,134518225
312474584,19671129,40572559,24278900
84793080,21278412,40031921,17461978
201599868,10228272,40572559,17696167
98750098,149726145,221848089,23280648
17801054,24900321,23484067,17323985
327404259,14615871,17093617,98201361
98201361,21111715,327404259,49997792
71599012,17093617,33940986,18739697
18133160,2172,16152151,17314341
255822718,24942585,20609518,59804598
62961255,124059059,191372457,28037700
105866364,17092592,17814729,17596468
243205775,15712979,88807478,28037700
14320484,174958347,21937199,43024351
101035409,394498736,88807478,28037700
137460929,93935921,5920532,33104973
98718349,37032310,74243986,19735065
144377719,175378976,43955937,25389599
142775997,14790966,101008987,7938112
93935921,3004231,137460929,169686021
370344674,82453323,82453323,11348282
11818062,5807512,15519544,52066462
172796191,77888423,352145373,160817572
17173852,145809544,250222226,23822078
19876230,16460916,17161990,26060531
263027142,42369271,19397785,101311381
322817694,250222226,228555074,342943472
17736256,15818391,14093540,20901447
86254626,101311381,77888423,18681139
89130924,77888423,111984637,10671602
80897009,352145373,15234657,10671602
26469931,14922225,1317671,15234657
16383065,10671602,77888423,2890961
